Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2030,Y2050
3,Albania,5064,Crop Residues,7234,Direct emissions (N2O),kt,0.0721,0.076,0.0666,0.0816,0.0765,0.0959,0.1051,0.1116,0.1166,0.1166,0.1161,0.1233,0.1312,0.1346,0.1346,0.1716,0.1792,0.1818,0.1867,0.1797,0.1818,0.191,0.2063,0.203,0.1971,0.203,0.2011,0.2017,0.2048,0.1825,0.0969,0.0922,0.1357,0.1307,0.1289,0.1023,0.1211,0.1221,0.1001,0.1125,0.0997,0.1019,0.095,0.0958,0.0981,0.0948,0.0929,0.1143,0.1167,0.1218,0.1235,0.1232,0.1234,0.1228,0.1219,0.1222,0.1224,0.1174,0.1151,0.1173,0.1179,0.1132,0.1159
3,Albania,5064,Crop Residues,7236,Indirect emissions (N2O),kt,0.0162,0.0171,0.015,0.0184,0.0172,0.0216,0.0237,0.0251,0.0262,0.0262,0.0261,0.0277,0.0295,0.0303,0.0303,0.0386,0.0403,0.0409,0.042,0.0404,0.0409,0.043,0.0464,0.0457,0.0444,0.0457,0.0452,0.0454,0.0461,0.0411,0.0218,0.0207,0.0305,0.0294,0.029,0.023,0.0272,0.0275,0.0225,0.0253,0.0224,0.0229,0.0214,0.0216,0.0221,0.0213,0.0209,0.0257,0.0262,0.0274,0.0278,0.0277,0.0278,0.0276,0.0274,0.0275,0.0275,0.0264,0.0259,0.0264,0.0265,0.0255,0.0261
3,Albania,5064,Crop Residues,7230,Emissions (N2O),kt,0.0883,0.0931,0.0816,0.1,0.0937,0.1174,0.1288,0.1367,0.1428,0.1429,0.1422,0.151,0.1607,0.1649,0.1649,0.2102,0.2195,0.2228,0.2287,0.2201,0.2227,0.234,0.2528,0.2487,0.2415,0.2486,0.2463,0.2471,0.2509,0.2235,0.1187,0.113,0.1662,0.1601,0.1579,0.1253,0.1483,0.1496,0.1227,0.1378,0.1221,0.1249,0.1164,0.1174,0.1201,0.1162,0.1138,0.1401,0.1429,0.1492,0.1513,0.1509,0.1512,0.1504,0.1494,0.1497,0.1499,0.1438,0.141,0.1437,0.1444,0.1387,0.142
3,Albania,5064,Crop Residues,724313,Emissions (CO2eq) from N2O (AR5),kt,23.3995,24.6715,21.624,26.5,24.8305,31.111,34.132,36.2255,37.842,37.8685,37.683,40.015,42.5855,43.6985,43.6985,55.703,58.1675,59.042,60.6055,58.3265,59.0155,62.01,66.992,65.9055,63.9975,65.879,65.2695,65.4815,66.4885,59.2275,31.4555,29.945,44.043,42.4265,41.8435,33.2045,39.2995,39.644,32.5155,36.517,32.3565,33.0985,30.846,31.111,31.8265,30.793,30.157,37.1265,37.8685,39.538,40.0945,39.9885,40.068,39.856,39.591,39.6705,39.7235,38.107,37.365,38.0805,38.266,36.7555,37.63
3,Albania,5064,Crop Residues,723113,Emissions (CO2eq) (AR5),kt,23.3995,24.6715,21.624,26.5,24.8305,31.111,34.132,36.2255,37.842,37.8685,37.683,40.015,42.5855,43.6985,43.6985,55.703,58.1675,59.042,60.6055,58.3265,59.0155,62.01,66.992,65.9055,63.9975,65.879,65.2695,65.4815,66.4885,59.2275,31.4555,29.945,44.043,42.4265,41.8435,33.2045,39.2995,39.644,32.5155,36.517,32.3565,33.0985,30.846,31.111,31.8265,30.793,30.157,37.1265,37.8685,39.538,40.0945,39.9885,40.068,39.856,39.591,39.6705,39.7235,38.107,37.365,38.0805,38.266,36.7555,37.63
3,Albania,5060,Rice Cultivation,7225,Emissions (CH4),kt,0.8308,0.9542,1.0839,0.9909,1.1012,1.0769,1.129,1.1631,1.2225,1.4067,0.9542,1.12,1.344,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.008,1.008,0.84,0.84,0.924,0.896,0.756,0.84,0.224,0.0672,0.0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Albania,5060,Rice Cultivation,724413,Emissions (CO2eq) from CH4 (AR5),kt,23.2624,26.7176,30.3492,27.7452,30.8336,30.1532,31.612,32.5668,34.23,39.3876,26.7176,31.36,37.632,31.36,31.36,31.36,31.36,31.36,31.36,31.36,31.36,31.36,28.224,28.224,23.52,23.52,25.872,25.088,21.168,23.52,6.272,1.8816,1.0976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Albania,5060,Rice Cultivation,723113,Emissions (CO2eq) (AR5),kt,23.2624,26.7176,30.3492,27.7452,30.8336,30.1532,31.612,32.5668,34.23,39.3876,26.7176,31.36,37.632,31.36,31.36,31.36,31.36,31.36,31.36,31.36,31.36,31.36,28.224,28.224,23.52,23.52,25.872,25.088,21.168,23.52,6.272,1.8816,1.0976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Albania,5066,Burning - Crop residues,7225,Emissions (CH4),kt,0.5771,0.5209,0.5344,0.5374,0.5454,0.5288,0.5403,0.4771,0.4521,0.463,0.466,0.4919,0.4717,0.4649,0.4487,0.4541,0.4514,0.4541,0.4828,0.5004,0.4801,0.464,0.4431,0.4427,0.4224,0.4273,0.43,0.4143,0.4027,0.3911,0.276,0.2813,0.3638,0.3852,0.3385,0.312,0.3122,0.305,0.2662,0.2641,0.2484,0.2359,0.2286,0.2143,0.2196,0.2132,0.2007,0.2224,0.2179,0.2262,0.24,0.2233,0.2213,0.2241,0.2226,0.2342,0.2303,0.2164,0.2108,0.2114,0.2163,0.2062,0.2081
3,Albania,5066,Burning - Crop residues,7225,Emissions (CH4),kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,,,,,,,,,,,,,,
3,Albania,5066,Burning - Crop residues,7230,Emissions (N2O),kt,0.015,0.0135,0.0139,0.0139,0.0141,0.0137,0.014,0.0124,0.0117,0.012,0.0121,0.0128,0.0122,0.0121,0.0116,0.0118,0.0117,0.0118,0.0125,0.013,0.0124,0.012,0.0115,0.0115,0.011,0.0111,0.0111,0.0107,0.0104,0.0101,0.0072,0.0073,0.0094,0.01,0.0088,0.0081,0.0081,0.0079,0.0069,0.0068,0.0064,0.0061,0.0059,0.0056,0.0057,0.0055,0.0052,0.0058,0.0057,0.0059,0.0062,0.0058,0.0057,0.0058,0.0058,0.0061,0.006,0.0056,0.0055,0.0055,0.0056,0.0053,0.0054
3,Albania,5066,Burning - Crop residues,7230,Emissions (N2O),kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,,,,,,,,,,,,,,,,,,
3,Albania,5066,Burning - Crop residues,724413,Emissions (CO2eq) from CH4 (AR5),kt,16.1588,14.5852,14.9632,15.0472,15.2712,14.8064,15.1284,13.3588,12.6588,12.964,13.048,13.7732,13.2076,13.0172,12.5636,12.7148,12.6392,12.7148,13.5184,14.0112,13.4428,12.992,12.4068,12.3956,11.8272,11.9644,12.04,11.6004,11.2756,10.9508,7.728,7.8764,10.1864,10.7856,9.478,8.736,8.7416,8.54,7.4536,7.3948,6.9552,6.6052,6.4008,6.0004,6.1488,5.9696,5.6196,6.2272,6.1012,6.3336,6.72,6.2524,6.1964,6.2748,6.2328,6.5576,6.4484,6.0592,5.9024,5.9192,6.0564,5.7736,5.8268
